Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1573,Răzvan Marin,ro ROU,MF,Cagliari,it Serie A,28.0,1996,26,11,1141,12.7,3,2,5,1,2,2,4,0,2.2,0.7,3.0,3.7,19,71,23,0.24,0.41,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,3,16,5,31.3,1.26,0.39,0.06,0.20,25.0,1,2,2,2.2,0.7,0.04,+0.8,+0.3,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,480,623,77.0,8719,2802,2,3.0,3.0,-1.0,30,51,17,2,71,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,623,544,77,38,4,3,61,3,36,3,31,0,480,2,12,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,53,4.18,28,19,1,4,1,0,2,0.16,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,21,12,8,11,2,24,54.2,11,5,0,5,2,23,15,2,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,717,17,140,399,186,18,715,19,10,52.6,9,47.4,393,2015,911,19,15,3,10,11,458,23,1946,ro ROU,MF,it Serie A,28-305,1996,26,1141,44,43.7,12.7,11,76,4,15,20,3,0.96,13,20,-7,-0.55,0.00,16.9,16.8,+0.1,+0.01,1573,ro ROU,MF,it Serie A,28-305,1996,12.7,4,0,0,23,10,0,61,2,12,0,0,0,61,9,15,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,30.0,1994,19,18,1530,17.0,1,1,2,1,0,0,0,1,0.7,0.7,0.6,1.4,6,54,5,0.12,0.08,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,1,7,3,42.9,0.41,0.18,0.14,0.33,10.3,0,0,0,0.7,0.7,0.10,+0.3,+0.3,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,759,874,86.8,15400,5275,1,0.6,0.6,+0.4,4,41,4,0,54,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,874,846,25,22,2,4,1,2,0,0,0,0,759,3,3,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,13,0.76,10,1,0,2,0,0,2,0.12,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,27,14,16,10,1,23,65.2,8,21,10,11,23,50,87,1,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,1069,111,529,521,28,13,1069,5,0,0.0,5,100.0,617,2941,1489,6,5,2,13,3,683,5,1948,cl CHI,DF,it Serie A,30-322,1994,19,1530,81,58.6,17.0,18,84,16,1,13,6,1.32,22,19,+3,+0.18,+0.43,14.1,20.9,-6.8,-0.40,1574,cl CHI,DF,it Serie A,30-322,1994,17.0,0,1,0,16,5,1,1,23,14,0,0,0,55,47,34,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Mika Màrmol,es ESP,DF,Las Palmas,es La Liga,22.0,2002,21,18,1589,17.7,0,1,1,0,0,0,4,0,0.4,0.4,1.3,1.6,17,69,29,0.06,0.09,1575,es ESP,DF,es La Liga,22-265,2002,17.7,0,9,0,0.0,0.51,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,1575,es ESP,DF,es La Liga,22-265,2002,17.7,776,998,77.8,13756,5865,1,1.3,1.7,-0.3,10,83,12,7,69,1575,es ESP,DF,es La Liga,22-265,2002,17.7,998,864,133,18,0,5,37,110,0,0,0,0,776,1,17,1575,es ESP,DF,es La Liga,22-265,2002,17.7,26,1.47,22,3,0,1,0,0,3,0.17,1575,es ESP,DF,es La Liga,22-265,2002,17.7,40,15,23,15,2,35,68.6,11,31,12,19,27,67,77,1,1575,es ESP,DF,es La Liga,22-265,2002,17.7,1211,104,451,614,149,13,1211,9,5,55.6,4,44.4,552,2695,1607,17,16,1,10,3,734,29,1950,es ESP,DF,es La Liga,22-265,2002,21,1589,76,63.1,17.7,18,85,15,3,20,3,0.86,21,31,-10,-0.57,-0.08,18.2,33.1,-14.9,-0.84,1575,es ESP,DF,es La Liga,22-265,2002,17.7,4,0,0,24,5,2,37,27,15,0,1,0,49,15,12,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1576,Omar Marmoush,eg EGY,""MF,FW"",Manchester City,eng Premier League,26.0,1999,7,6,475,5.3,4,0,4,4,0,0,0,0,1.1,1.1,1.0,2.1,11,15,34,0.76,0.40,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,4,14,6,42.9,2.65,1.14,0.29,0.67,21.7,2,0,0,1.1,1.1,0.08,+2.9,+2.9,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,119,156,76.3,1663,488,0,1.0,0.9,-1.0,8,8,11,2,15,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,156,134,22,4,2,0,22,1,13,8,3,0,119,0,2,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,20,3.79,11,3,0,1,5,0,1,0.19,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,8,4,2,4,2,11,54.5,5,5,0,5,3,11,3,0,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,230,1,15,78,140,20,230,15,3,20.0,9,60.0,147,928,491,11,12,2,18,6,160,34,1951,eg EGY,""MF,FW"",eng Premier League,26-045,1999,7,475,68,18.2,5.3,6,76,0,1,22,0,1.43,9,9,0,0.00,-0.63,8.7,6.7,+2.0,+0.38,1576,eg EGY,""MF,FW"",eng Premier League,26-045,1999,5.3,0,0,0,6,13,6,22,3,4,1,0,0,18,1,5,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
1577,Omar Marmoush,eg EGY,FW,Eint Frankfurt,de Bundesliga,26.0,1999,17,17,1448,16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,1.37,0.94,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,15,75,34,45.3,4.66,2.11,0.17,0.38,18.1,6,2,2,8.8,7.3,0.10,+6.2,+5.7,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,300,430,69.8,4868,1774,9,6.2,4.1,+2.8,34,30,22,1,50,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,430,332,95,29,5,2,78,6,50,22,24,0,300,3,10,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,91,5.66,39,20,13,9,9,1,21,1.31,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,12,8,0,3,9,7,42.9,4,7,1,6,2,14,2,0,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,671,1,40,230,421,109,669,101,46,45.5,46,45.5,442,3318,1810,73,53,45,66,37,483,125,1952,eg EGY,FW,de Bundesliga,26-045,1999,17,1448,85,61.9,16.1,17,85,10,0,,0,1.94,40,22,+18,+1.12,+1.52,31.8,23.8,+8.0,+0.50,1577,eg EGY,FW,de Bundesliga,26-045,1999,16.1,2,0,0,8,55,7,78,2,8,1,0,0,51,7,14,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,Mario Maroto,es ESP,MF,Valladolid,es La Liga,21.0,2003,1,0,19,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,4.74,0.32,1578,es ESP,MF,es La Liga,21-116,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1578,es ESP,MF,es La Liga,21-116,2003,0.2,11,15,73.3,200,65,1,0.1,0.0,+0.9,1,2,0,0,1,1578,es ESP,MF,es La Liga,21-116,2003,0.2,15,15,0,0,0,0,0,0,0,0,0,0,11,0,1,1578,es ESP,MF,es La Liga,21-116,2003,0.2,2,9.47,2,0,0,0,0,0,1,4.74,1578,es ESP,MF,es La Liga,21-116,2003,0.2,0,0,0,0,0,1,0.0,1,0,0,0,2,2,1,0,1578,es ESP,MF,es La Liga,21-116,2003,0.2,19,1,4,11,4,1,19,1,1,100.0,0,0.0,5,16,3,0,0,0,0,0,7,0,1953,es ESP,MF,es La Liga,21-116,2003,1,19,19,0.8,0.2,0,,0,1,19,6,0.00,1,1,0,0.00,+1.62,0.2,1.1,-0.8,-3.84,1578,es ESP,MF,es La Liga,21-116,2003,0.2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30.0,1994,18,15,1404,15.6,1,0,1,1,0,0,3,0,0.8,0.8,0.7,1.5,21,114,3,0.06,0.10,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,1,6,2,33.3,0.38,0.13,0.17,0.50,10.6,0,0,0,0.8,0.8,0.13,+0.2,+0.2,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,1414,1502,94.1,27347,8178,0,0.7,0.6,-0.7,8,148,4,1,114,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,1502,1470,30,18,3,10,2,10,0,0,0,0,1414,2,6,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,27,1.73,24,0,1,0,0,2,1,0.06,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,24,14,7,13,4,25,80.0,5,20,11,9,9,33,55,0,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,1629,153,544,999,91,8,1629,4,3,75.0,1,25.0,1100,5396,3660,21,23,0,3,0,1307,3,1954,br BRA,DF,fr Ligue 1,30-314,1994,18,1404,78,60.0,15.6,15,89,14,3,25,3,2.56,47,14,+33,+2.12,+0.67,42.8,14.1,+28.7,+1.84,1579,br BRA,DF,fr Ligue 1,30-314,1994,15.6,3,0,0,15,4,1,2,9,14,0,1,0,86,28,16,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,23.0,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,1580,es ESP,GK,es La Liga,23-166,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1580,es ESP,GK,es La Liga,23-166,2001,1.0,22,30,73.3,591,369,0,0.0,0.0,0.0,0,0,0,0,0,1580,es ESP,GK,es La Liga,23-166,2001,1.0,30,19,10,2,0,0,0,0,0,0,0,0,22,1,0,1580,es ESP,GK,es La Liga,23-166,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,1580,es ESP,GK,es La Liga,23-166,2001,1.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1580,es ESP,GK,es La Liga,23-166,2001,1.0,33,29,33,0,0,0,33,0,0,,0,,17,63,22,0,0,0,0,0,15,0,1955,es ESP,GK,es La Liga,23-166,2001,1,90,90,3.6,1.0,1,90,1,0,,27,0.00,0,1,-1,-1.00,-0.85,0.7,0.6,+0.1,+0.10,1580,es ESP,GK,es La Liga,23-166,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,92,es ESP,GK,es La Liga,23-166,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,92,es ESP,GK,es La Liga,23-166,2001,1.0,1,0,0,0,0,1.1,0.28,+0.1,+0.13,4,10,40.0,21,5,33.3,31.2,10,1,10.0,3,3.00,23.0
1581,Ange Martial Tia,ml MLI,MF,Reims,fr Ligue 1,18.0,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,4,5,80.0,69,19,0,0.0,0.0,0.0,0,0,0,0,0,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,5,4,1,1,0,0,0,0,0,0,0,0,4,0,0,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,1,90.00,1,0,0,0,0,0,0,0.00,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,1,1,0,1,0,2,50.0,1,0,0,0,0,1,0,0,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,5,0,0,2,3,0,5,0,0,,0,,2,1,1,0,0,0,0,0,4,0,1957,ml MLI,MF,fr Ligue 1,18-124,2006,1,1,1,0.0,0.0,0,,0,1,1,1,0.00,0,0,0,0.00,+0.54,0.0,0.0,0.0,+0.72,1581,ml MLI,MF,fr Ligue 1,18-124,2006,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Aarón Martín,es ESP,DF,Genoa,it Serie A,27.0,1997,28,28,2446,27.2,0,4,4,0,0,0,5,0,0.7,0.7,4.6,5.3,41,78,93,0.15,0.20,1582,es ESP,DF,it Serie A,27-336,1997,27.2,0,13,4,30.8,0.48,0.15,0.00,0.00,23.9,4,0,0,0.7,0.7,0.06,-0.7,-0.7,1582,es ESP,DF,it Serie A,27-336,1997,27.2,963,1337,72.0,18126,7105,4,4.6,5.3,-0.6,56,64,24,16,78,1582,es ESP,DF,it Serie A,27-336,1997,27.2,1337,970,363,75,0,2,217,203,85,39,44,0,963,4,25,1582,es ESP,DF,it Serie A,27-336,1997,27.2,83,3.05,35,43,2,1,2,0,7,0.26,1582,es ESP,DF,it Serie A,27-336,1997,27.2,62,40,35,23,4,40,67.5,13,30,9,21,16,78,60,1,1582,es ESP,DF,it Serie A,27-336,1997,27.2,1564,74,446,641,499,16,1564,25,12,48.0,11,44.0,666,3823,1837,41,26,4,19,12,815,93,1958,es ESP,DF,it Serie A,27-336,1997,28,2446,87,93.7,27.2,28,87,24,0,,1,1.25,25,34,-9,-0.33,-0.33,28.0,32.5,-4.5,-0.17,1582,es ESP,DF,it Serie A,27-336,1997,27.2,5,0,0,31,25,3,217,16,40,0,1,0,117,18,26,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1583,Carlos Martín,es ESP,""FW,MF"",Alavés,es La Liga,22.0,2002,19,13,1069,11.9,2,2,4,2,0,0,2,0,2.1,2.1,2.6,4.7,10,16,58,0.34,0.40,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,2,24,11,45.8,2.02,0.93,0.08,0.18,16.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,201,309,65.0,2892,699,2,2.6,1.2,-0.6,10,10,4,3,16,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,309,303,6,2,3,0,19,4,0,0,0,0,201,0,19,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,19,1.60,11,0,2,4,2,0,3,0.25,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,29,16,12,11,6,35,28.6,25,24,1,23,5,34,15,0,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,480,17,94,206,184,36,480,28,6,21.4,22,78.6,245,900,357,10,8,3,24,17,299,58,1959,es ESP,""FW,MF"",es La Liga,22-336,2002,19,1069,56,42.4,11.9,13,67,1,6,32,7,1.05,10,12,-2,-0.17,+0.33,12.5,15.0,-2.5,-0.21,1583,es ESP,""FW,MF"",es La Liga,22-336,2002,11.9,2,0,0,23,26,4,19,5,16,0,0,0,45,10,17,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
1584,Gerard Martín,es ESP,DF,Barcelona,es La Liga,23.0,2002,17,5,527,5.9,1,1,2,1,0,0,2,0,0.2,0.2,0.5,0.7,6,19,43,0.34,0.12,1584,es ESP,DF,es La Liga,23-082,2002,5.9,1,3,1,33.3,0.51,0.17,0.33,1.00,13.4,0,0,0,0.2,0.2,0.07,+0.8,+0.8,1584,es ESP,DF,es La Liga,23-082,2002,5.9,325,386,84.2,5284,1622,1,0.5,1.1,+0.5,6,13,8,2,19,1584,es ESP,DF,es La Liga,23-082,2002,5.9,386,332,53,6,1,1,13,47,0,0,0,0,325,1,11,1584,es ESP,DF,es La Liga,23-082,2002,5.9,14,2.39,14,0,0,0,0,0,1,0.17,1584,es ESP,DF,es La Liga,23-082,2002,5.9,14,6,7,4,3,14,64.3,5,10,2,8,7,21,14,0,1584,es ESP,DF,es La Liga,23-082,2002,5.9,448,14,118,198,133,6,448,4,2,50.0,2,50.0,182,591,317,6,6,0,4,1,278,43,1961,es ESP,DF,es La Liga,23-082,2002,17,527,31,21.7,5.9,5,72,2,12,14,10,2.53,20,7,+13,+2.22,+0.56,13.5,6.8,+6.8,+1.16,1584,es ESP,DF,es La Liga,23-082,2002,5.9,2,0,0,8,2,0,13,7,6,0,0,0,20,7,3,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,Iván Martín,es ESP,MF,Girona,es La Liga,26.0,1999,24,20,1664,18.5,1,1,2,1,0,0,1,0,1.0,1.0,1.8,2.8,47,109,58,0.11,0.15,1585,es ESP,MF,es La Liga,26-038,1999,18.5,1,6,1,16.7,0.32,0.05,0.17,1.00,18.5,0,0,0,1.0,1.0,0.16,0.0,0.0,1585,es ESP,MF,es La Liga,26-038,1999,18.5,1082,1195,90.5,16989,3254,1,1.8,1.9,-0.8,20,90,13,2,109,1585,es ESP,MF,es La Liga,26-038,1999,18.5,1195,1173,21,13,1,1,15,8,0,0,0,0,1082,1,15,1585,es ESP,MF,es La Liga,26-038,1999,18.5,48,2.60,46,0,0,1,1,0,3,0.16,1585,es ESP,MF,es La Liga,26-038,1999,18.5,26,15,13,11,2,29,41.4,17,15,3,12,10,36,14,1,1585,es ESP,MF,es La Liga,26-038,1999,18.5,1348,30,245,777,344,14,1348,39,22,56.4,11,28.2,890,5580,2597,47,47,0,35,22,1087,58,1962,es ESP,MF,es La Liga,26-038,1999,24,1664,69,66.0,18.5,20,78,10,4,27,1,1.17,18,24,-6,-0.32,-0.43,20.7,24.6,-3.9,-0.21,1585,es ESP,MF,es La Liga,26-038,1999,18.5,1,0,0,17,14,3,15,10,15,0,0,0,91,3,13,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,19.0,2006,6,0,297,3.3,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,0,5,0,0.30,0.15,1586,es ESP,DF,es La Liga,19-082,2006,3.3,0,5,0,0.0,1.52,0.00,0.00,,9.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,1586,es ESP,DF,es La Liga,19-082,2006,3.3,86,108,79.6,1680,630,1,0.1,0.0,+0.9,1,1,0,0,5,1586,es ESP,DF,es La Liga,19-082,2006,3.3,108,104,4,4,0,0,0,0,0,0,0,0,86,0,1,1586,es ESP,DF,es La Liga,19-082,2006,3.3,3,0.91,1,0,0,2,0,0,1,0.30,1586,es ESP,DF,es La Liga,19-082,2006,3.3,1,1,0,0,1,1,100.0,0,6,5,1,5,6,15,0,1586,es ESP,DF,es La Liga,19-082,2006,3.3,149,35,90,50,9,6,149,0,0,,0,,59,291,162,0,1,0,0,0,80,0,1963,es ESP,DF,es La Liga,19-082,2006,6,297,50,11.8,3.3,0,,0,6,50,21,0.67,2,7,-5,-1.52,-1.52,1.2,5.4,-4.3,-1.30,1586,es ESP,DF,es La Liga,19-082,2006,3.3,1,0,0,7,0,0,0,5,1,0,0,0,8,14,5,73.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587,Jonas Martin,fr FRA,MF,Brest,fr Ligue 1,34.0,1990,13,5,459,5.1,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,8,19,7,0.20,0.15,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,1,3,1,33.3,0.59,0.20,0.33,1.00,8.7,0,0,0,0.4,0.4,0.14,+0.6,+0.6,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,241,275,87.6,3819,941,0,0.3,0.4,-0.3,3,17,3,2,19,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,275,264,9,6,0,1,3,3,0,0,0,0,241,2,6,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,8,1.57,8,0,0,0,0,0,2,0.39,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,11,5,8,2,1,10,50.0,5,3,0,3,6,17,11,1,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,325,18,84,189,53,6,325,4,2,50.0,1,25.0,146,695,337,8,5,0,4,4,222,7,1964,fr FRA,MF,fr Ligue 1,34-349,1990,13,459,35,19.6,5.1,5,70,0,8,14,3,1.00,9,12,-3,-0.59,-0.64,6.9,12.7,-5.9,-1.15,1587,fr FRA,MF,fr Ligue 1,34-349,1990,5.1,2,0,0,7,10,0,3,6,5,0,1,0,28,5,9,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,Mario Martín,es ESP,MF,Valladolid,es La Liga,21.0,2004,23,16,1429,15.9,0,1,1,0,0,0,7,2,1.1,1.1,1.4,2.6,14,54,19,0.06,0.16,1588,es ESP,MF,es La Liga,21-019,2004,15.9,0,24,11,45.8,1.51,0.69,0.00,0.00,22.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1,1588,es ESP,MF,es La Liga,21-019,2004,15.9,547,645,84.8,9631,2441,1,1.4,1.2,-0.4,11,45,3,1,54,1588,es ESP,MF,es La Liga,21-019,2004,15.9,645,613,30,17,2,3,9,2,1,1,0,0,547,2,10,1588,es ESP,MF,es La Liga,21-019,2004,15.9,29,1.83,18,1,2,3,5,0,1,0.06,1588,es ESP,MF,es La Liga,21-019,2004,15.9,50,27,26,21,3,40,40.0,24,24,4,20,19,69,38,6,1588,es ESP,MF,es La Liga,21-019,2004,15.9,876,66,278,466,140,22,876,30,16,53.3,11,36.7,451,2507,1098,14,14,2,30,20,546,19,1965,es ESP,MF,es La Liga,21-019,2004,23,1429,62,56.7,15.9,16,79,6,7,23,1,0.48,12,37,-25,-1.57,+0.08,14.4,25.7,-11.2,-0.71,1588,es ESP,MF,es La Liga,21-019,2004,15.9,7,2,1,39,34,1,9,19,27,0,1,0,68,26,25,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
